finish_time,draw,horse_rating,declared_weight,horse_age,actual_weight,win_odds,distance,race_class
83.92,7,60,1020.0,3,133,9.7,1400,5
83.56,12,60,980.0,3,133,16.0,1400,5
83.4,8,60,1082.0,3,132,3.5,1400,5
83.62,13,60,1118.0,3,127,39.0,1400,5
83.24,14,60,972.0,3,131,50.0,1400,5
82.83,5,60,1114.0,3,127,7.0,1400,5
84.15,11,60,978.0,3,123,99.0,1400,5
82.64,2,60,1170.0,3,128,12.0,1400,5
84.2,6,60,1126.0,3,123,38.0,1400,5
92.2,9,60,1072.0,3,125,39.0,1400,5
82.77,3,60,1135.0,3,123,8.6,1400,5
82.98,10,60,1018.0,3,123,23.0,1400,5
83.94,1,60,1089.0,3,120,5.4,1400,5
83.08,4,60,1027.0,3,113,11.0,1400,5
71.98,9,60,1078.0,3,128,14.0,1200,5
71.47,8,60,1257.0,3,132,28.0,1200,5
70.98,5,60,1037.0,3,130,7.0,1200,5
70.72,11,60,1168.0,3,126,12.0,1200,5
70.39,10,60,1148.0,3,125,2.3,1200,5
71.77,2,60,1057.0,3,121,28.0,1200,5
73.89,13,60,1064.0,3,122,13.0,1200,5
70.8,7,60,1132.0,3,117,43.0,1200,5
71.41,12,60,1081.0,3,121,14.0,1200,5
70.76,1,60,1059.0,3,121,10.0,1200,5
72.54,14,60,1106.0,3,118,50.0,1200,5
70.87,3,60,1095.0,3,103,21.0,1200,5
70.56,6,60,1060.0,3,113,13.0,1200,5
70.81,4,60,1110.0,3,108,47.0,1200,5
83.69,2,60,1115.0,3,133,9.2,1400,4
84.3,10,60,1091.0,3,126,99.0,1400,4
84.45,14,60,1000.0,3,128,81.0,1400,4
83.98,6,60,1106.0,3,127,3.5,1400,4
84.03,8,60,1031.0,3,126,4.4,1400,4
84.25,3,60,1068.0,3,125,65.0,1400,4
84.36,12,60,1151.0,3,123,99.0,1400,4
83.86,7,60,1052.0,3,125,6.7,1400,4
84.25,9,60,1122.0,3,125,7.9,1400,4
83.97,11,60,1016.0,3,124,16.0,1400,4
83.69,4,60,1149.0,3,122,7.0,1400,4
84.66,1,60,1028.0,3,116,45.0,1400,4
83.74,13,60,1029.0,3,110,22.0,1400,4
84.89,5,60,1157.0,3,110,99.0,1400,4
69.23,3,60,1093.0,3,133,15.0,1200,1
69.34,9,60,1169.0,3,132,11.0,1200,1
69.16,11,60,1219.0,3,131,8.2,1200,1
70.22,6,60,1182.0,3,125,44.0,1200,1
68.89,4,60,1231.0,3,119,5.2,1200,1
69.75,12,60,1213.0,3,119,36.0,1200,1
69.22,2,60,1137.0,3,114,15.0,1200,1
69.57,1,60,1074.0,3,115,2.9,1200,1
69.67,8,60,1195.0,3,113,15.0,1200,1
69.2,5,60,1214.0,3,114,5.1,1200,1
69.66,7,60,1211.0,3,110,74.0,1200,1
70.52,10,60,1153.0,3,111,68.0,1200,1
95.94,4,60,1076.0,3,133,5.2,1600,4
95.84,3,60,1044.0,3,132,3.6,1600,4
96.4,2,60,1065.0,3,132,8.2,1600,4
96.92,13,60,1161.0,3,126,28.0,1600,4
96.51,6,60,1040.0,3,128,33.0,1600,4
97.16,14,60,1106.0,3,120,43.0,1600,4
96.3,12,60,1019.0,3,125,12.0,1600,4
96.58,11,60,1009.0,3,120,13.0,1600,4
96.76,8,60,1011.0,3,120,6.1,1600,4
95.87,7,60,999.0,3,114,11.0,1600,4
96.88,9,60,1011.0,3,117,19.0,1600,4
96.8,1,60,988.0,3,106,31.0,1600,4
97.4,10,60,1157.0,3,113,99.0,1600,4
99.36,5,60,1152.0,3,103,25.0,1600,4
70.22,10,60,1143.0,3,133,17.0,1200,4
70.88,6,60,1096.0,3,133,1.8,1200,4
70.11,14,60,1169.0,3,132,28.0,1200,4
70.07,9,60,1120.0,3,130,11.0,1200,4
70.69,3,60,1136.0,3,126,13.0,1200,4
71.76,1,60,1235.0,3,125,99.0,1200,4
71.6,2,60,1015.0,3,120,99.0,1200,4
69.91,13,60,1114.0,3,124,32.0,1200,4
69.2,8,60,1170.0,3,124,6.1,1200,4
70.71,12,60,1015.0,3,123,8.5,1200,4
70.94,5,60,1087.0,3,121,37.0,1200,4
73.96,11,60,1098.0,3,119,99.0,1200,4
70.23,4,60,1064.0,3,115,22.0,1200,4
69.7,7,60,1155.0,3,110,99.0,1200,4
82.35,7,60,1113.0,3,133,6.3,1400,2
82.44,2,60,1059.0,3,127,16.0,1400,2
82.3,12,60,1181.0,3,131,5.7,1400,2
84.42,6,60,1057.0,3,124,5.1,1400,2
81.51,9,60,1052.0,3,125,16.0,1400,2
82.1,8,60,1103.0,3,123,31.0,1400,2
82.09,5,60,1049.0,3,123,8.6,1400,2
82.26,10,60,1039.0,3,123,52.0,1400,2
82.7,3,60,1069.0,3,119,56.0,1400,2
82.24,1,60,1142.0,3,116,2.7,1400,2
83.84,11,60,1068.0,3,115,99.0,1400,2
82.52,4,60,1248.0,3,111,99.0,1400,2
57.1,10,60,1210.0,3,133,11.0,1000,2
57.45,3,60,1044.0,3,133,36.0,1000,2
56.57,8,60,1065.0,3,126,21.0,1000,2
56.76,11,60,1179.0,3,123,26.0,1000,2
56.73,4,60,1182.0,3,117,24.0,1000,2
57.91,5,60,1212.0,3,122,2.7,1000,2
56.72,6,60,1096.0,3,120,6.3,1000,2
57.62,2,60,1167.0,3,110,22.0,1000,2
57.48,12,60,1087.0,3,119,22.0,1000,2
58.27,13,60,1077.0,3,115,71.0,1000,2
56.77,1,60,1152.0,3,111,17.0,1000,2
56.55,7,60,1250.0,3,113,7.0,1000,2
57.05,9,60,1099.0,3,110,6.6,1000,2
83.18,7,60,1153.0,3,128,15.0,1400,3
82.89,14,60,1131.0,3,131,10.0,1400,3
82.9,11,60,1101.0,3,127,20.0,1400,3
83.71,12,60,1148.0,3,130,11.0,1400,3
82.61,1,60,1142.0,3,129,4.9,1400,3
83.91,4,60,1144.0,3,126,55.0,1400,3
82.59,3,60,1101.0,3,125,2.4,1400,3
87.99,6,60,1030.0,3,120,60.0,1400,3
82.98,10,60,1119.0,3,118,6.5,1400,3
83.02,9,60,1110.0,3,120,67.0,1400,3
83.48,13,60,1031.0,3,113,99.0,1400,3
84.41,8,60,1058.0,3,109,99.0,1400,3
83.85,5,60,1184.0,3,113,13.0,1400,3
83.96,2,60,1095.0,3,109,99.0,1400,3
70.19,10,60,1046.0,3,133,20.0,1200,3
71.02,5,60,1130.0,3,133,19.0,1200,3
70.63,3,60,1210.0,3,129,12.0,1200,3
70.56,6,60,1074.0,3,131,8.6,1200,3
